input,output
5, 0
5,1.262
5,6.9999
5,17.771
5,121.76
5,119.09
5,116.37
5,113.76
5,120.75
5,114.91
5,119.39
5,114.66
5,118.39
5,121.91
5,124.07
5,122.66
5,114.76
5,116.17
5,115.67
5,125.23
5,122.97
5,119.95
5,117.98
5,126.94
5,123.12
5,128.91
5,130.72
5,129.51
5,121.51
5,124.58
5,127.29
5,128.5
5,129.36
5,131.17
5,122.36
5,124.63
5,125.43
5,125.89
5,127.09
5,129.41
5,131.67
5,131.22
5,125.43
5,125.68
5,128.3
5,127.29
5,124.17
5,126.44
5,123.62
5,132.23
5,127.75
5,126.29
5,126.99
5,133.23
5,135
5,125.18
5,128.3
5,130.67
5,131.07
5,132.43
5,134.34
5,124.93
5,127.09
5,128.5
5,132.28
5,133.38
5,133.28
5,133.74
5,131.07
5,130.77
5,130.67
5,133.38
5,133.13
5,133.84
5,134.64
5,133.18
5,132.33
5,134.74
5,131.62
5,129.11
5,127.4
5,133.08
5,130.67
5,136.91
5,132.08
5,127.65
5,131.77
5,137.26
5,131.37
5,136.66
5,128.55
5,132.58
5,137.21
5,131.12
5,131.42
5,133.74
5,135.85
5,138.32
5,137.86
5,131.02
5,131.12
5,131.52
5,131.67
5,133.74
5,135.2
5,137.26
5,128
5,129.16
5,129.91
5,130.77
5,133.74
5,138.72
5,129.56
5,133.18
5,135.05
5,136.56
5,138.02
5,128.91
5,132.13
5,133.18
5,134.69
5,136.3
5,128
5,131.12
5,131.82
5,133.74
5,130.36
5,132.83
5,135.85
5,138.97
5,128.3
5,129.91
5,128.91
5,131.02
5,134.84
5,137.01
5,138.07
5,131.98
5,129.36
5,132.03
5,132.73
5,133.49
5,134.39
5,137.16
5,138.72
5,138.97
5,139.12
5,128.75
5,130.97
5,131.67
5,132.13
5,132.23
5,134.49
5,136.15
5,136.66
5,136.61
5,138.22
5,128.7
5,130.36
5,130.77
5,131.47
5,133.99
5,136.51
5,138.42
5,133.64
5,128.4
5,131.17
5,133.33
5,133.99
5,134.29
5,136.1
5,128.91
5,129.81
5,129.66
5,130.97
5,138.27
5,136.35
5,136.25
5,135.45
5,134.09
5,134.89
5,131.22
5,136.15
5,132.18
5,129.21
5,137.01
5,131.82
5,138.62
5,134.39
5,131.12
5,138.42
5,132.63
5,139.88
5,136.4
5,132.53
5,138.82
5,130.16
5,138.72
5,134.89
5,129.66
5,137.01
5,134.14
5,131.12
5,138.62
5,134.44
5,137.21
5,132.43
5,139.88
5,129.81
5,136.56
5,139.63
5,135.4
5,129.51
5,136.3
5,132.23
5,134.79
5,131.87
5,139.12
5,138.37
5,133.79
5,130.62
5,134.24
5,130.16
5,132.38
5,129.66
5,133.79
5,138.57
5,136.4
5,133.28
5,134.64
5,137.71
5,135.65
5,136.05
5,134.89
5,139.93
5,136.66
5,137.56
5,135.75
5,129.96
5,135.4
5,135.6
5,136.86
5,132.03
5,137.11
5,132.33
5,131.87
5,136.25
5,129.71
5,139.68
5,132.38
5,130.47
5,128.91
5,133.54
5,136.35
5,129.16
5,139.42
5,136.56
5,135.45
5,134.39
5,135.65
5,134.39
5,136.35
5,132.18
5,138.62
5,131.98
5,137.91
5,133.69
5,134.95
5,130.62
5,139.53
5,134.09
5,130.62
5,133.49
5,129.61
5,135.4
5,129.71
5,137.41
5,134.04
5,137.71
5,135.2
5,135.9
5,131.72
5,134.84
5,135.4
5,131.98
5,135.6
5,132.58
5,140.38
5,133.44
5,130.72
5,134.29
5,131.72
5,137.46
5,132.93
5,129.96
5,138.72
5,135.8
5,132.33
5,139.58
5,135.3
5,129.91
5,139.48
5,129.41
5,137.31
5,131.67
5,138.57
5,135.1
5,138.57
5,133.54
5,136.96
5,133.54
5,139.53
5,133.74
5,129.96
5,129.81
2,137.31
2,131.82
2,131.87
2,125.03
2,119.14
2,86.525
2,86.123
2,59.245
2,66.191
2,58.289
2,56.879
2,52.652
2,50.94
2,42.585
2,42.434
2,42.786
2,36.394
2,39.263
2,39.515
2,38.105
2,38.005
2,45.454
2,37.3
2,35.136
2,34.381
2,34.129
2,41.88
2,33.072
2,35.991
2,40.672
2,38.81
2,33.173
2,36.998
2,31.009
2,35.891
2,42.736
2,39.414
2,34.431
2,38.911
2,34.532
2,42.233
2,34.481
2,30.958
2,36.293
2,41.528
2,40.874
2,36.998
2,32.418
2,40.169
2,42.182
2,34.381
2,31.713
2,37.199
2,33.324
2,40.471
2,43.491
2,38.558
2,36.193
2,41.025
2,37.753
2,33.978
2,39.112
2,38.76
2,38.357
2,38.659
2,31.16
2,33.274
2,31.109
2,41.427
2,38.105
2,40.924
2,36.444
2,29.7
2,33.576
2,39.615
2,38.005
2,37.401
2,35.488
2,34.23
2,33.072
2,39.313
2,33.475
2,36.948
2,35.589
2,37.3
2,33.928
2,36.696
2,34.783
2,35.337
2,31.764
2,30.807
2,35.186
2,34.632
2,30.858
2,35.085
2,37.501
2,35.035
2,33.274
2,30.858
2,40.119
2,30.304
2,32.67
2,30.807
2,40.874
2,33.324
2,40.823
2,40.672
2,36.243
2,36.948
2,34.381
2,34.28
2,42.031
2,40.471
2,38.206
2,31.965
2,36.293
2,35.689
2,30.405
2,40.974
2,33.576
2,35.84
2,33.022
2,32.418
2,37.401
2,37.803
2,32.821
2,32.72
2,37.199
2,32.116
2.5,30.707
2.5,39.414
2.5,36.142
2.5,38.407
2.5,38.911
2.5,39.162
2.5,46.259
2.5,53.457
2.5,48.977
2.5,49.934
2.5,52.299
2.5,50.236
2.5,45.253
2.5,47.467
2.5,53.155
2.5,47.216
2.5,48.222
2.5,52.249
2.5,55.621
2.5,46.863
2.5,50.991
2.5,53.356
2.5,57.584
2.5,58.49
2.5,56.93
2.5,57.03
2.5,55.772
2.5,53.96
2.5,51.897
2.5,51.091
2.5,51.091
2.5,59.698
2.5,54.413
2.5,56.527
2.5,51.494
2.5,48.474
2.5,57.181
2.5,54.866
2.5,49.028
2.5,51.846
2.5,56.829
2.5,55.772
2.5,51.494
2.5,49.984
2.5,58.54
2.5,48.977
2.5,55.822
2.5,48.071
2.5,58.591
2.5,49.632
2.5,54.162
2.5,49.833
2.5,51.846
2.5,57.433
2.5,58.641
2.5,51.192
2.5,58.49
2.5,53.105
2.5,52.45
2.5,48.323
2.5,55.671
2.5,59.597
2.5,54.614
2.5,48.675
2.5,55.671
2.5,48.776
2.5,57.685
2.5,51.796
2.5,49.078
2.5,55.621
2.5,54.212
2.5,60.151
2.5,53.105
2.5,52.45
2.5,55.873
2.5,51.494
2.5,58.389
2.5,49.33
2.5,55.47
2.5,59.497
2.5,54.212
2.5,57.131
2.5,56.225
2.5,50.034
2.5,56.024
2.5,58.842
2.5,52.803
2.5,50.991
2.5,54.011
2.5,52.903
2.5,57.735
2.5,51.645
2.5,54.866
2.5,49.531
2.5,54.413
2.5,58.339
2.5,51.192
2.5,57.383
2.5,52.199
2.5,57.886
2.5,53.306
2.5,59.295
2.5,52.601
2.5,53.356
2.5,58.993
2.5,50.84
2.5,57.433
2.5,49.078
2.5,55.269
2.5,52.954
2.5,57.685
2.5,49.682
2.5,55.47
2.5,54.564
2.5,48.675
2.5,54.413
2.5,56.225
2.5,51.595
2.5,57.735
2.5,53.608
2.5,57.081
2.5,52.199
2.5,57.282
2.5,51.746
2.5,58.138
2.5,50.991
2.5,58.691
2.5,53.759
2.5,49.028
2.5,56.577
2.5,58.49
2.5,54.514
2.5,47.316
2.5,55.017
2.5,51.796
2.5,56.225
2.5,51.444
2.5,58.389
2.5,54.715
2.5,48.172
2.5,56.275
2.5,51.947
2.5,48.575
2.5,50.84
2.5,59.044
2.5,55.319
2.5,51.444
2.5,50.94
2.5,56.93
2.5,47.87
2.5,55.973
2.5,52.45
2.5,57.282
2.5,51.695
2.5,59.95
2.5,55.168
2.5,50.236
2.5,58.742
2.5,53.809
2.5,58.238
2.5,53.86
2.5,48.424
2.5,57.181
2.5,54.665
2.5,52.199
2.5,48.273
2.5,54.212
2.5,49.229
2.5,54.715
2.5,54.464
2.5,50.89
2.5,58.591
2.5,57.634
2.5,49.581
2.5,56.477
2.5,50.89
2.5,58.691
2.5,58.54
2.5,51.645
2.5,57.383
2.5,48.927
2.5,54.866
2.5,49.028
2.5,54.614
2.5,51.091
8,55.923
8,57.634
8,61.158
8,86.072
8,97.498
8,102.73
8,125.68
8,134.04
8,136.96
8,154.07
8,160.11
8,157.24
8,170.08
8,174.86
8,175.16
8,180.65
8,181.55
8,186.03
8,192.73
8,189.41
8,196.85
8,196.85
8,201.28
8,207.02
8,206.92
8,211.95
8,212.71
8,212.31
8,217.24
8,221.52
8,221.87
8,218.14
8,217.79
8,228.77
8,224.69
8,227.41
8,228.82
8,226.1
8,225.59
8,233.24
8,229.97
8,226.45
8,232.39
8,229.67
8,225.54
8,230.22
8,226.05
8,233.85
8,227.71
8,224.79
8,224.99
8,232.99
8,227.41
8,229.82
8,224.59
8,233.19
8,233.04
8,228.31
7,228.61
7,234
7,234.45
7,226
7,217.74
7,210.29
7,207.07
7,204.76
7,207.37
7,209.64
7,201.84
7,210.14
7,205.86
7,203.05
7,203.95
7,204
7,201.33
7,198.41
7,205.76
7,195.75
7,196.25
7,201.99
7,200.03
7,197.31
7,199.87
7,197.11
7,198.46
7,204.5
7,201.64
7,197.06
7,196.2
7,203.4
7,196.8
7,199.62
7,201.48
7,196.7
7,202.69
7,197.76
7,195.5
7,203.45
7,198.72
7,202.39
7,200.23
7,200.83
7,198.41
7,197.06
7,194.54
7,202.84
7,201.89
7,198.46
7,196.3
7,195.6
7,202.59
7,202.34
7,197.46
7,197.41
7,193.33
7,203.25
7,194.24
7,193.63
7,199.87
7,196.8
7,195.19
7,197.16
7,195.34
7,195.8
7,193.88
7,201.18
7,199.02
7,203.15
7,202.44
7,198.46
7,198.21
7,194.09
7,193.78
7,202.54
7,195.34
7,194.89
7,203.9
7,195.5
7,193.93
7,199.02
7,197.36
7,203.5
7,201.64
7,194.14
7,199.17
7,200.38
7,196.4
7,203.4
7,200.08
7,196.45
7,193.48
7,202.94
7,200.98
7,193.83
7,202.24
7,197.71
7,195.19
7,204.56
7,200.98
7,195.04
7,202.59
7,197.36
7,202.59
7,203.05
7,195.85
7,195.65
7,200.08
7,202.44
7,195.34
7.6,203.35
7.6,205.31
7.6,197.81
7.6,203.25
7.6,214.07
7.6,210.19
7.6,221.92
7.6,216.28
7.6,211.35
7.6,222.12
7.6,214.92
7.6,217.99
7.6,220.76
7.6,213.82
7.6,215.98
7.6,218.95
7.6,215.43
7.6,218.2
7.6,220.31
7.6,220.91
7.6,212.16
7.6,213.11
7.6,214.02
7.6,216.84
7.6,217.39
7.6,218.55
7.6,217.89
7.6,217.89
7.6,216.43
7.6,216.84
7.6,216.48
7.6,213.51
7.6,214.92
7.6,217.14
7.6,219.71
7.6,219.71
7.6,223.08
7.6,213.67
7.6,219.3
7.6,221.97
7.6,212.86
7.6,219.35
7.6,213.46
7.6,215.12
7.6,214.87
7.6,214.52
7.6,217.89
7.6,213.01
7.6,215.18
7.6,218.25
7.6,219.05
7.6,219.96
7.6,217.64
7.6,216.89
7.6,220.11
7.6,219.05
7.6,219.91
7.6,214.97
7.6,214.02
7.6,219.55
7.6,216.99
7.6,223.18
7.6,219.1
7.6,216.03
7.6,222.62
7.6,219.4
7.6,215.33
7.6,221.16
7.6,217.89
7.6,221.52
7.6,219.81
7.6,216.48
7.6,222.88
7.6,217.34
7.6,214.22
7.6,220.06
7.6,215.28
7.6,222.78
7.6,216.48
7.6,215.18
7.6,222.73
7.6,218.25
7.6,223.98
6.3,221.06
6.3,215.58
6.3,217.69
6.3,211.1
6.3,190.01
6.3,195.95
6.3,188
6.3,187.39
6.3,177.02
6.3,179.69
6.3,183.21
6.3,178.89
6.3,174.66
6.3,173.8
6.3,180.55
6.3,176.52
6.3,182.91
6.3,181.25
6.3,181.45
6.3,182.01
6.3,181.65
6.3,175.01
6.3,173.85
6.3,173.55
6.3,174.71
6.3,174.15
6.3,177.22
6.3,179.09
6.3,175.51
6.3,176.52
6.3,178.33
6.3,179.54
6.3,179.84
6.3,177.78
6.3,180.45
6.3,177.98
6.3,177.98
6.3,182.71
6.3,172.9
6.3,174.51
6.3,172.64
6.3,173.55
6.3,174.91
6.3,177.63
6.3,176.72
6.3,180.5
6.3,180.55
6.3,173.3
6.3,172.69
6.3,180.35
6.3,181.15
6.3,175.61
6.3,174.31
6.3,172.54
6.3,174.71
6.3,175.61
6.3,180.35
6.3,179.44
6.3,177.22
6.3,176.82
6.3,173.4
6.3,183.52
6.3,181.35
6.3,180.95
6.3,180.55
6.3,175.06
6.3,172.9
6.3,175.66
6.3,179.04
6.3,181.55
6.3,180.9
6.3,178.78
